    3    0    7    1 -0.0000000000 0.0000000000
    3    0    8    0 0.0000000000 0.0000000000
    3    0    8    1 0.0000000000 0.0000000000
    3    0    9    0 -0.0000000060 0.0000000000
    3    0    9    1 0.0000000000 0.0000000000
    3    1    0    0 -0.0000000000 0.0000000000
    3    1    0    1 -0.0000000000 0.0000000000
    3    1    1    0 0.0000000000 0.0000000000
    3    1    1    1 0.0000000000 0.0000000000
    3    1    2    0 -0.0000000000 0.0000000000
    3    1    2    1 -0.0000000000 0.0000000000
    3    1    3    0 -0.0000000000 0.0000000000
    3    1    3    1 0.0000000000 0.0000000000
    3    1    4    0 0.0000000000 0.0000000000
    3    1    4    1 0.0000000000 0.0000000000
    3    1    5    0 0.0000000000 0.0000000000
    3    1    5    1 0.0000000000 0.0000000000
    3    1    6    0 -0.0000000000 0.0000000000
    3    1    6    1 -0.0000000000 0.0000000000
    3    1    7    0 -0.0000000000 0.0000000000
    3    1    7    1 -0.0000000000 0.0000000000
    3    1    8    0 0.0000000000 0.0000000000
    3    1    8    1 -0.0000000000 0.0000000000
    3    1    9    0 0.0000000000 0.0000000000
    3    1    9    1 -0.0000000060 0.0000000000
    4    0    0    0 0.0000000000 0.0000000000
    4    0    0    1 0.0000000000 0.0000000000
    4    0    1    0 0.0000000000 0.0000000000
    4    0    1    1 -0.0000000000 0.0000000000
    4    0    2    0 0.0000000000 0.0000000000
    4    0    2    1 -0.0000000000 0.0000000000
    4    0    3    0 0.0000000000 0.0000000000
    4    0    3    1 0.0000000000 0.0000000000
    4    0    4    0 0.0000000000 0.0000000000
    4    0    4    1 -0.0000000000 0.0000000000
    4    0    5    0 0.0000000000 0.0000000000
    4    0    5    1 -0.0000000000 0.0000000000
    4    0    6    0 -0.0000000000 0.0000000000
    4    0    6    1 -0.0000000000 0.0000000000
    4    0    7    0 0.0000000398 0.0000000000
    4    0    7    1 -0.0000000144 0.0000000000
    4    0    8    0 -0.0000000038 0.0000000000
    4    0    8    1 0.0000000013 0.0000000000
    4    0    9    0 -0.0000000000 0.0000000000
    4    0    9    1 -0.0000000000 0.0000000000
    4    1    0    0 -0.0000000000 0.0000000000
    4    1    0    1 0.0000000000 0.0000000000
    4    1    1    0 -0.0000000000 0.0000000000
    4    1    1    1 -0.0000000000 0.0000000000
    4    1    2    0 0.0000000000 0.0000000000
    4    1    2    1 -0.0000000000 0.0000000000
    4    1    3    0 -0.0000000000 0.0000000000
    4    1    3    1 0.0000000000 0.0000000000
    4    1    4    0 -0.0000000000 0.0000000000
    4    1    4    1 0.0000000000 0.0000000000
    4    1    5    0 0.0000000000 0.0000000000
    4    1    5    1 0.0000000000 0.0000000000
    4    1    6    0 0.0000000000 0.0000000000
    4    1    6    1 -0.0000000000 0.0000000000
    4    1    7    0 -0.0000000144 0.0000000000
    4    1    7    1 -0.0000000398 0.0000000000
    4    1    8    0 0.0000000013 0.0000000000
    4    1    8    1 0.0000000038 0.0000000000
    4    1    9    0 -0.0000000000 0.0000000000
    4    1    9    1 0.0000000000 0.0000000000
    5    0    0    0 -0.0000000000 0.0000000000
    5    0    0    1 -0.0000000000 0.0000000000
    5    0    1    0 -0.0000000000 0.0000000000
    5    0    1    1 0.0000000000 0.0000000000
    5    0    2    0 -0.0000000000 0.0000000000
    5    0    2    1 0.0000000000 0.0000000000
    5    0    3    0 0.0000000000 0.0000000000
    5    0    3    1 0.0000000000 0.0000000000
    5    0    4    0 0.0000000000 0.0000000000
    5    0    4    1 0.0000000000 0.0000000000
    5    0    5    0 0.0000000000 0.0000000000
    5    0    5    1 0.0000000000 0.0000000000
    5    0    6    0 0.0000000000 0.0000000000
    5    0    6    1 -0.0000000000 0.0000000000
    5    0    7    0 0.0000000038 0.0000000000
    5    0    7    1 -0.0000000014 0.0000000000
    5    0    8    0 0.0000000398 0.0000000000
    5    0    8    1 -0.0000000144 0.0000000000
    5    0    9    0 0.0000000000 0.0000000000
    5    0    9    1 -0.0000000000 0.0000000000
    5    1    0    0 0.0000000000 0.0000000000
    5    1    0    1 -0.0000000000 0.0000000000
    5    1    1    0 -0.0000000000 0.0000000000
    5    1    1    1 0.0000000000 0.0000000000
    5    1    2    0 -0.0000000000 0.0000000000
    5    1    2    1 -0.0000000000 0.0000000000
    5    1    3    0 -0.0000000000 0.0000000000
    5    1    3    1 0.0000000000 0.0000000000
    5    1    4    0 -0.0000000000 0.0000000000
    5    1    4    1 0.0000000000 0.0000000000
    5    1    5    0 0.0000000000 0.0000000000
    5    1    5    1 0.0000000000 0.0000000000
    5    1    6    0 0.0000000000 0.0000000000
    5    1    6    1 0.0000000000 0.0000000000
    5    1    7    0 -0.0000000014 0.0000000000
    5    1    7    1 -0.0000000038 0.0000000000
    5    1    8    0 -0.0000000144 0.0000000000
    5    1    8    1 -0.0000000398 0.0000000000
    5    1    9    0 -0.0000000000 0.0000000000
    5    1    9    1 0.0000000000 0.0000000000
    6    0    0    0 0.0000000000 0.0000000000
    6    0    0    1 -0.0000000000 0.0000000000
    6    0    1    0 0.0000000000 0.0000000000
    6    0    1    1 -0.0000000000 0.0000000000
    6    0    2    0 0.0000000000 0.0000000000
    6    0    2    1 -0.0000000000 0.0000000000
    6    0    3    0 0.0000000000 0.0000000000
    6    0    3    1 -0.0000000000 0.0000000000
    6    0    4    0 -0.0000000000 0.0000000000
    6    0    4    1 0.0000000000 0.0000000000
    6    0    5    0 0.0000000000 0.0000000000
    6    0    5    1 0.0000000000 0.0000000000
    6    0    6    0 0.0000000000 0.0000000000
    6    0    6    1 0.0000000000 0.0000000000
    6    0    7    0 -0.0000000000 0.0000000000
    6    0    7    1 -0.0000000000 0.0000000000
    6    0    8    0 0.0000000000 0.0000000000
    6    0    8    1 -0.0000000000 0.0000000000
    6    0    9    0 -0.0000000002 0.0000000000
    6    0    9    1 0.0000000001 0.0000000000
    6    1    0    0 0.0000000000 0.0000000000
    6    1    0    1 0.0000000000 0.0000000000
    6    1    1    0 -0.0000000000 0.0000000000
    6    1    1    1 -0.0000000000 0.0000000000
    6    1    2    0 0.0000000000 0.0000000000
    6    1    2    1 0.0000000000 0.0000000000
    6    1    3    0 -0.0000000000 0.0000000000
    6    1    3    1 -0.0000000000 0.0000000000
    6    1    4    0 -0.0000000000 0.0000000000
    6    1    4    1 -0.0000000000 0.0000000000
    6    1    5    0 -0.0000000000 0.0000000000
    6    1    5    1 0.0000000000 0.0000000000
    6    1    6    0 0.0000000000 0.0000000000
    6    1    6    1 0.0000000000 0.0000000000
    6    1    7    0 -0.0000000000 0.0000000000
    6    1    7    1 0.0000000000 0.0000000000
    6    1    8    0 -0.0000000000 0.0000000000
    6    1    8    1 0.0000000000 0.0000000000
    6    1    9    0 0.0000000001 0.0000000000
    6    1    9    1 0.0000000002 0.0000000000
    7    0    0    0 0.0000000000 0.0000000000
    7    0    0    1 0.0000000000 0.0000000000
    7    0    1    0 0.0000000000 0.0000000000
    7    0    1    1 -0.0000000000 0.0000000000
    7    0    2    0 0.0000000000 0.0000000000
    7    0    2    1 0.0000000000 0.0000000000
    7    0    3    0 0.0000000000 0.0000000000
    7    0    3    1 -0.0000000000 0.0000000000
    7    0    4    0 0.0000000398 0.0000000000
    7    0    4    1 -0.0000000144 0.0000000000
    7    0    5    0 0.0000000038 0.0000000000
    7    0    5    1 -0.0000000014 0.0000000000
    7    0    6    0 -0.0000000000 0.0000000000
    7    0    6    1 -0.0000000000 0.0000000000
    7    0    7    0 1.0000000000 0.0000000000
    7    0    7    1 0.0000000000 0.0000000000
    7    0    8    0 0.0000000000 0.0000000000
    7    0    8    1 -0.0000000000 0.0000000000
    7    0    9    0 -0.0000000000 0.0000000000
    7    0    9    1 0.0000000000 0.0000000000
    7    1    0    0 -0.0000000000 0.0000000000
    7    1    0    1 -0.0000000000 0.0000000000
    7    1    1    0 -0.0000000000 0.0000000000
    7    1    1    1 0.0000000000 0.0000000000
    7    1    2    0 -0.0000000000 0.0000000000
    7    1    2    1 0.0000000000 0.0000000000
    7    1    3    0 -0.0000000000 0.0000000000
    7    1    3    1 -0.0000000000 0.0000000000
    7    1    4    0 -0.0000000144 0.0000000000
    7    1    4    1 -0.0000000398 0.0000000000
    7    1    5    0 -0.0000000014 0.0000000000
    7    1    5    1 -0.0000000038 0.0000000000
    7    1    6    0 -0.0000000000 0.0000000000
    7    1    6    1 0.0000000000 0.0000000000
    7    1    7    0 0.0000000000 0.0000000000
    7    1    7    1 1.0000000000 0.0000000000
    7    1    8    0 0.0000000000 0.0000000000
    7    1    8    1 0.0000000000 0.0000000000
    7    1    9    0 -0.0000000000 0.0000000000
    7    1    9    1 0.0000000000 0.0000000000
    8    0    0    0 -0.0000000000 0.0000000000
    8    0    0    1 -0.0000000000 0.0000000000
    8    0    1    0 -0.0000000000 0.0000000000
    8    0    1    1 -0.0000000000 0.0000000000
    8    0    2    0 -0.0000000000 0.0000000000
    8    0    2    1 0.0000000000 0.0000000000
    8    0    3    0 0.0000000000 0.0000000000
    8    0    3    1 0.0000000000 0.0000000000
    8    0    4    0 -0.0000000038 0.0000000000
    8    0    4    1 0.0000000013 0.0000000000
    8    0    5    0 0.0000000398 0.0000000000
    8    0    5    1 -0.0000000144 0.0000000000
    8    0    6    0 0.0000000000 0.0000000000
    8    0    6    1 -0.0000000000 0.0000000000
    8    0    7    0 0.0000000000 0.0000000000
    8    0    7    1 0.0000000000 0.0000000000
    8    0    8    0 1.0000000000 0.0000000000
    8    0    8    1 0.0000000000 0.0000000000
    8    0    9    0 0.0000000000 0.0000000000
    8    0    9    1 0.0000000000 0.0000000000
    8    1    0    0 -0.0000000000 0.0000000000
    8    1    0    1 0.0000000000 0.0000000000
    8    1    1    0 0.0000000000 0.0000000000
    8    1    1    1 -0.0000000000 0.0000000000
    8    1    2    0 0.0000000000 0.0000000000
    8    1    2    1 -0.0000000000 0.0000000000
    8    1    3    0 0.0000000000 0.0000000000
    8    1    3    1 -0.0000000000 0.0000000000
    8    1    4    0 0.0000000013 0.0000000000
    8    1    4    1 0.0000000038 0.0000000000
    8    1    5    0 -0.0000000144 0.0000000000
    8    1    5    1 -0.0000000398 0.0000000000
    8    1    6    0 -0.0000000000 0.0000000000
    8    1    6    1 0.0000000000 0.0000000000
    8    1    7    0 -0.0000000000 0.0000000000
    8    1    7    1 0.0000000000 0.0000000000
    8    1    8    0 0.0000000000 0.0000000000
    8    1    8    1 1.0000000000 0.0000000000
    8    1    9    0 0.0000000000 0.0000000000
    8    1    9    1 -0.0000000000 0.0000000000
    9    0    0    0 -0.0000000001 0.0000000000
    9    0    0    1 0.0000000000 0.0000000000
    9    0    1    0 -0.0000000000 0.0000000000
    9    0    1    1 -0.0000000000 0.0000000000
    9    0    2    0 -0.0000000049 0.0000000000
    9    0    2    1 0.0000000018 0.0000000000
    9    0    3    0 -0.0000000060 0.0000000000
    9    0    3    1 0.0000000000 0.0000000000
    9    0    4    0 -0.0000000000 0.0000000000
    9    0    4    1 -0.0000000000 0.0000000000
    9    0    5    0 0.0000000000 0.0000000000
    9    0    5    1 -0.0000000000 0.0000000000
    9    0    6    0 -0.0000000002 0.0000000000
    9    0    6    1 0.0000000001 0.0000000000
    9    0    7    0 -0.0000000000 0.0000000000
    9    0    7    1 -0.0000000000 0.0000000000
    9    0    8    0 0.0000000000 0.0000000000
    9    0    8    1 0.0000000000 0.0000000000
    9    0    9    0 1.0000000000 0.0000000000
    9    0    9    1 -0.0000000000 0.0000000000
    9    1    0    0 0.0000000000 0.0000000000
    9    1    0    1 0.0000000001 0.0000000000
    9    1    1    0 -0.0000000000 0.0000000000
    9    1    1    1 -0.0000000000 0.0000000000
    9    1    2    0 0.0000000018 0.0000000000
    9    1    2    1 0.0000000049 0.0000000000
    9    1    3    0 0.0000000000 0.0000000000
    9    1    3    1 -0.0000000060 0.0000000000
    9    1    4    0 -0.0000000000 0.0000000000
    9    1    4    1 0.0000000000 0.0000000000
    9    1    5    0 -0.0000000000 0.0000000000
    9    1    5    1 0.0000000000 0.0000000000
    9    1    6    0 0.0000000001 0.0000000000
    9    1    6    1 0.0000000002 0.0000000000
    9    1    7    0 0.0000000000 0.0000000000
    9    1    7    1 0.0000000000 0.0000000000
    9    1    8    0 0.0000000000 0.0000000000
    9    1    8    1 -0.0000000000 0.0000000000
    9    1    9    0 -0.0000000000 0.0000000000
    9    1    9    1 1.0000000000 0.0000000000
